,year,scripture_references
29,2015,Luke 2:41–52; Luke 22:63–65; Luke 23:46; John 19:16–18; Luke 23:34; Luke 22:47–48; Matthew 4:1–11; Luke 23:1–12; Luke 4:1–13; Mark 6:45–52; Luke 22:39–46; Matthew 26:26–28; Luke 22:14–20; Matthew 26:25; Luke 24:13–35; Matthew 7:7; John 1:1–3; Luke 8:43–48; Matthew 26:22; Matthew 26:67; Matthew 27:29; Matthew 26:18; Matthew 17:1–9; Luke 24:5–8; Matthew 26:27–28; Ecclesiastes 3:1; Luke 2:1–7; Mark 1:12–13; Doctrine and Covenants 20:77; Matthew 26:21; 3 Nephi 11:14; John 9:7; Matthew 26:26
30,2015,D&C 11:12; John 20:29; D&C 20:77; D&C 14:7; D&C 121:45; 3 Nephi 27:20; Alma 32:28
31,2015,Doctrine and Covenants 93:13; Doctrine and Covenants 65:5; Doctrine and Covenants 42:69; Daniel 2:28; Ephesians 4:13; Hebrews 8:11; Doctrine and Covenants 121:43; Isaiah 58:14; Ephesians 2:20; Doctrine and Covenants 112:28; John 18:36; Jeremiah 31:34; Moses 1:39; 1 Corinthians 12:22; Doctrine and Covenants 42:45; Doctrine and Covenants 93:24; 3 Nephi 18:21; 1 Corinthians 12:20; Moses 5:58–59; Faith 1:5; Ephesians 4:11–13; Matthew 1:31; 2 Nephi 31:17; Mosiah 18:9; Moroni 6:4; Doctrine and Covenants 90:3; 4 Nephi 1:12; 2 Nephi 31:18; Daniel 2:45; 3 Nephi 28:23; 3 Nephi 27:5; Doctrine and Covenants 115:6; Moroni 6:5; Matthew 28:19–20; Moses 6:22–23; Doctrine and Covenants 20:77; Daniel 2:44; Mosiah 18:29
32,2015,Matthew 21:13; 2 Corinthians 3:3; 3 Nephi 17:3; 2 Nephi 4:15; Doctrine and Covenants 121:45; 2 Nephi 4:16; Alma 37:6; Deuteronomy 6:7; Moroni 10:3; 3 Nephi 27:21; Luke 2:42; Doctrine and Covenants 64:33; 2 Nephi 31:20; 3 Nephi 5:13; Alma 5:16; Doctrine and Covenants 6:36; 2 Nephi 31:12; Doctrine and Covenants 84:85; Matthew 6:19–20; 1 Nephi 2:20; Doctrine and Covenants 14:7; Matthew 4:3–4; Matthew 16:25; Luke 3:23; Doctrine and Covenants 20:77
33,2015,Doctrine and Covenants 88:6; 1 Corinthians 13:12; Mosiah 2:41; Matthew 28:6; Mark 16:6; 2 Nephi 2:25; Acts 9:10–18
34,2015,John 15:10; Exodus 20:8; Matthew 22:37–39; John 14:15; Doctrine and Covenants 20:77; Moroni 8:26; John 14:16–17; Doctrine and Covenants 1:38; Doctrine and Covenants 130:20
35,2015,1 Nephi 11:16; 2 Nephi 4:18; Mark 14:36; Alma 7:11; 3 Nephi 27:19; Alma 30:16; Doctrine and Covenants 45:4; Mosiah 5:2; Romans 8:17; 2 Nephi 31:20; Genesis 25:29–33; Moses 1:39; 2 Nephi 9:15; Isaiah 44:21; Abraham 3:22–28; Moses 4:1–4; Doctrine and Covenants 19:16; Mosiah 15:9; Doctrine and Covenants 88:6; Doctrine and Covenants 84:38; Matthew 5:48; Doctrine and Covenants 19:19; John 5:22; 2 Nephi 4:19; Doctrine and Covenants 122:8
36,2015,Acts 2:1–4; 3 Nephi 9:16; Matthew 13:15; John 14:12; Acts 28:27; Matthew 4:24–25; Enos 1:3; 1 Corinthians 2:16; about 2:30; Doctrine and Covenants 18:34; Acts 2:42; Acts 4:8–12; John 6:66; Alma 27:17; Matthew 13:16; Acts 10:9–15; Alma 31:38
37,2015,Ether 12:27; Hebrews 12:7–9; Abraham 3:25; Moroni 10:32; approximately 2:46; Doctrine and Covenants 122:7
38,2015,2 Nephi 33:15; D&C 107:23; D&C 112:1; Mosiah 2:9; Omni 1:26; Faith 1:5; Moroni 10:34; Isaiah 55:8–9; D&C 64:10; D&C 1:38; Jacob 6:11–12
39,2015,Moroni 10:5
40,2015,Isaiah 53:3; Doctrine and Covenants 38:27; John 17:21; Moroni 7:47
41,2015,1 Corinthians 11:11
