,scripture_references
140,Moroni 7:16; Doctrine and Covenants 88:78; Doctrine and Covenants 88:118; Matthew 7:17; Moroni 7:5; Alma 32:28; Doctrine and Covenants 8:1; Doctrine and Covenants 8:2; Doctrine and Covenants 8:10; Doctrine and Covenants 9:8; James 2:17; James 1:6; Alma 12:10; Alma 17:2–3; History 1:18; James 1:5; Moroni 7:16; Doctrine and Covenants 88:78; Doctrine and Covenants 88:118; Matthew 7:17; Moroni 7:5; Alma 32:28; Doctrine and Covenants 8:1; Doctrine and Covenants 8:2; Doctrine and Covenants 8:10; Doctrine and Covenants 9:8; James 2:17; James 1:6; Alma 12:10; Alma 17:2–3; History 1:18; James 1:5
141,Luke 24:5–7; Matthew 28:6–7; John 20:2; John 20:5; John 20:8; John 20:13; John 20:15; Luke 24:34; 1 Corinthians 15:5; Mark 16:12; Luke 24:13–35; Luke 24:39; Luke 24:41; Luke 24:42–43; Acts 1:8; 3 Nephi 11:14; 3 Nephi 11:16; John 5:26; John 10:17–18; Exodus 3:14; 1 Corinthians 15:21; 1 John 4:8; Alma 42:15; Mosiah 15:8–9; 3 Nephi 27:13; Enos 1:6; 3 Nephi 9:15; Acts 1:10–11; Faith 1:10; 2 Nephi 9:15; John 14:12; Doctrine and Covenants 84:19; Job 19:26; 3 Nephi 1:15; Mosiah 27:31; Doctrine and Covenants 76:22; Luke 24:5–7; Matthew 28:6–7; John 20:2; John 20:5; John 20:8; John 20:13; John 20:15; Luke 24:34; 1 Corinthians 15:5; Mark 16:12; Luke 24:13–35; Luke 24:39; Luke 24:41; Luke 24:42–43; Acts 1:8; 3 Nephi 11:14; 3 Nephi 11:16; John 5:26; John 10:17–18; Exodus 3:14; 1 Corinthians 15:21; 1 John 4:8; Alma 42:15; Mosiah 15:8–9; 3 Nephi 27:13; Enos 1:6; 3 Nephi 9:15; Acts 1:10–11; Faith 1:10; 2 Nephi 9:15; John 14:12; Doctrine and Covenants 84:19; Job 19:26; 3 Nephi 1:15; Mosiah 27:31; Doctrine and Covenants 76:22
142,Mosiah 18:9; 2 Nephi 11:5; Doctrine and Covenants 20:77; 2 Nephi 31:19; Doctrine and Covenants 25:13; Mosiah 18:9; 2 Nephi 11:5; Doctrine and Covenants 20:77; 2 Nephi 31:19; Doctrine and Covenants 25:13
143,Doctrine and Covenants 38:27; Luke 1:7; Doctrine and Covenants 38:27; Luke 1:7
144,John 7:17; Matthew 19:16–22; Doctrine and Covenants 25:10; Mormon 4:11–12; 3 Nephi 5:13; Moroni 7:2; 2 Nephi 26:29; John 7:17; Matthew 19:16–22; Doctrine and Covenants 25:10; Mormon 4:11–12; 3 Nephi 5:13; Moroni 7:2; 2 Nephi 26:29
145,Doctrine and Covenants 68:25; Mosiah 18:8–11; 3 Nephi 26:14; Abraham 5:14; Moses 5:11; Proverbs 3:5–6; Doctrine and Covenants 68:25; Mosiah 18:8–11; 3 Nephi 26:14; Abraham 5:14; Moses 5:11; Proverbs 3:5–6
146,Matthew 28:19; Matthew 28:19
147,Doctrine and Covenants 124:88; Doctrine and Covenants 1:38; Doctrine and Covenants 46:2; Doctrine and Covenants 9:8; Doctrine and Covenants 25:10; Mosiah 2:5; 2 Nephi 33:1; Luke 22:31–32; D&C 21:610; Mosiah 6:3; Mosiah 8:4; 3 Nephi 17:3; Doctrine and Covenants 124:88; Doctrine and Covenants 1:38; Doctrine and Covenants 46:2; Doctrine and Covenants 9:8; Doctrine and Covenants 25:10; Mosiah 2:5; 2 Nephi 33:1; Luke 22:31–32; Mosiah 6:3; Mosiah 8:4; 3 Nephi 17:3
148,Moroni 7:43; Moroni 7:44; Galatians 5:22–23; Galatians 5:25; Matthew 5:48; Moroni 10:32; Matthew 11:29; Luke 9:23; 2 Timothy 2:24; Doctrine and Covenants 112:10; Luke 23:34; Moroni 7:43; Moroni 7:44; Galatians 5:22–23; Galatians 5:25; Matthew 5:48; Moroni 10:32; Matthew 11:29; Luke 9:23; 2 Timothy 2:24; Doctrine and Covenants 112:10; Luke 23:34
149,Moroni 4:3; Doctrine and Covenants 14:7; Doctrine and Covenants 131:1; Doctrine and Covenants 109:22; Doctrine and Covenants 46:9; Doctrine and Covenants 84:38; Moroni 4:3; Doctrine and Covenants 14:7; Doctrine and Covenants 131:1; Doctrine and Covenants 109:22; Doctrine and Covenants 46:9; Doctrine and Covenants 84:38
150,Mosiah 18:9; Mosiah 3:19; D&C 64:33; D&C 58:27; D&C 58:2; Matthew 11:28–30; Moses 1:39; Luke 9:62; D&C 64:34
151,Malachi 3:10; 1 Corinthians 2:14; Luke 12:15; Ether 12:19; Luke 2:52; Alma 58:11; Alma 58:12–13; Malachi 3:10; Isaiah 55:8–9; D&C 120:1; 2 Nephi 27:20; D&C 104:16; Mark 12:41–44; D&C 120:1
152,Matthew 16:18–19; Helaman 10:7; Doctrine and Covenants 84:20; 2 Nephi 33:10; Faith 1:11; Mormon 8:17; Hebrews 11:1; Alma 32:21; Jacob 2:8; John 6:66; John 6:67–68; Matthew 16:24; Matthew 16:18–19; Helaman 10:7; Doctrine and Covenants 84:20; 2 Nephi 33:10; Faith 1:11; Mormon 8:17; Hebrews 11:1; Alma 32:21; Jacob 2:8; John 6:66; John 6:67–68; Matthew 16:24
153,2 Timothy 3:1; 2 Timothy 3:13; Ether 8:24; 2 Timothy 3:14; 2 Timothy 3:16; Mark 5:36; Alma 17:2; Ether 8:24; Jeremiah 31:34; Isaiah 1:18; Doctrine and Covenants 76:42; 2 Timothy 3:1; 2 Timothy 3:13; Ether 8:24; 2 Timothy 3:14; 2 Timothy 3:16; Mark 5:36; Alma 17:2; Ether 8:24; Jeremiah 31:34; Isaiah 1:18; Doctrine and Covenants 76:42
154,2 Timothy 1:5; Moses 2:27; Moses 6:57–60; Moses 1:39; John 8:29; 1 Peter 3:15; 2 Timothy 4:2; Doctrine and Covenants 93:40; Doctrine and Covenants 68:28; 2 Timothy 1:5; Moses 2:27; Moses 6:57–60; Moses 1:39; John 8:29; 1 Peter 3:15; 2 Timothy 4:2; Doctrine and Covenants 93:40; Doctrine and Covenants 68:28
155,D&C 88:73; Alma 29:1; D&C 18:13; Isaiah 52:7; D&C 76:22
156,Alma 37:6–7; Alma 37:8; 2 Kings 5:1; 2 Kings 5:10; D&C 18:15
157,John 5:3–4; John 5:7; John 5:6–7; John 5:8–9; Luke 17:12; Luke 17:13; Luke 17:14; Luke 17:15–16; Matthew 11:28–30; Luke 18:22; 2 Corinthians 5:17; D&C 88:63; 2 Nephi 2:11; Alma 5:19; Luke 22:19; Alma 23:7; D&C 58:28; Enos 1:7; Mark 5:36; 2 Corinthians 12:9; D&C 88:68
158,1 Peter 3:8; Alma 26:27; Alma 56:16; Matthew 26:39; Psalm 4:4; Doctrine and Covenants 101:16; Mosiah 4:27; Doctrine and Covenants 121:41; 1 Corinthians 13:4; Moroni 7:45–46; Psalm 31:12; 1 Corinthians 15:42; 1 Peter 3:8; 1 Peter 3:8; Alma 26:27; Alma 56:16; Matthew 26:39; Psalm 4:4; Doctrine and Covenants 101:16; Mosiah 4:27; Doctrine and Covenants 121:41; 1 Corinthians 13:4; Moroni 7:45–46; Psalm 31:12; 1 Corinthians 15:42; 1 Peter 3:8
159,Matthew 7:7–11; D&C 123:12; D&C 100:5; Moroni 7:33
160,2 Timothy 3:16; D&C 13:1
161,1 Nephi 22:25; Abraham 2:10; Ephesians 2:19; Leviticus 19:34; Matthew 8:10; Matthew 8:2–3; Mark 1:40–42; John 4:7–9; Matthew 5:46–48; 4 Nephi 1:17; Acts 10:34–35; Matthew 25:35; 1 Nephi 22:25; Abraham 2:10; Ephesians 2:19; Leviticus 19:34; Matthew 8:10; Matthew 8:2–3; Mark 1:40–42; John 4:7–9; Matthew 5:46–48; 4 Nephi 1:17; Acts 10:34–35; Matthew 25:35
162,Doctrine and Covenants 112:21; Faith 1:5; Doctrine and Covenants 112:22; Omni 1:26; Mark 5:41–42; John 5:8–9; Doctrine and Covenants 18:13; Doctrine and Covenants 121:45; Doctrine and Covenants 121:46; Matthew 28:19; Mormon 1:2; 3 Nephi 5:13; Doctrine and Covenants 112:21; Faith 1:5; Doctrine and Covenants 112:22; Omni 1:26; Mark 5:41–42; John 5:8–9; Doctrine and Covenants 18:13; Doctrine and Covenants 121:45; Doctrine and Covenants 121:46; Matthew 28:19; Mormon 1:2; 3 Nephi 5:13
163,2 Corinthians 7:10; Acts 3:19; Ezekiel 36:26; 2 Corinthians 5:17; Mosiah 3:19; Mosiah 5:2; Matthew 5:26; Doctrine and Covenants 59:23; Colossians 3:23; 2 Corinthians 7:10; Acts 3:19; Ezekiel 36:26; 2 Corinthians 5:17; Mosiah 3:19; Mosiah 5:2; Matthew 5:26; Doctrine and Covenants 59:23; Colossians 3:23
164,Luke 10:33–35; Doctrine and Covenants 84:85; Moroni 7:46–48; Luke 10:33–35; Doctrine and Covenants 84:85; Moroni 7:46–48
165,1 Peter 2:9; John 10:14; Doctrine and Covenants 20:42; Mosiah 23:17–18; Ephesians 2:19; Matthew 7:28–29; Acts 10:38; 1 Peter 2:9; John 10:14; Doctrine and Covenants 20:42; Mosiah 23:17–18; Ephesians 2:19; Matthew 7:28–29; Acts 10:38
166,Matthew 22:35–40; Alma 42:13; Matthew 22:35–40; Alma 42:13
167,Exodus 20:3; Matthew 22:36–37; Exodus 20:4; Exodus 20:5; Exodus 20:5–6; Exodus 20:5; Doctrine and Covenants 124:84; John 14:15; Alma 42:8; 1 Nephi 1:14; 2 Nephi 26:27; 1 Thessalonians 3:12; 1 John 3:17; D&C 121:45; Genesis 1:28; Exodus 20:14; 1 Thessalonians 4:3; D&C 121:35; Doctrine and Covenants 124:84
168,Joshua 24:15; Mosiah 5:2; John 7:17; Ether 12:6; Luke 22:32; Joshua 24:31; Doctrine and Covenants 25:10; Moses 1:39; Joshua 24:15; Mosiah 5:2; John 7:17; Ether 12:6; Luke 22:32; Joshua 24:31; Doctrine and Covenants 25:10; Moses 1:39
169,Doctrine and Covenants 121:7; Helaman 14:30; 2 Nephi 31:20; Hebrews 12:1; 2 Timothy 4:6; Doctrine and Covenants 121:7; Helaman 14:30; 2 Nephi 31:20; Hebrews 12:1; 2 Timothy 4:6
170,Alma 17:14; Alma 23:4–7; Alma 24:20–27; Alma 53:8–9; Alma 53:10–13; Alma 53:14–16; Alma 56:48; Alma 53:17–22; Alma 53:15; Doctrine and Covenants 58:42; Alma 53:4; Ether 12:27; 1 Samuel 12:15; Isaiah 1:20; 1 Nephi 2:23; Mosiah 15:26; Alma 9:24; Doctrine and Covenants 76:25; Moses 4:3; Proverbs 28:13; 1 Corinthians 2:3; 2 Corinthians 13:4; James 3:17; 2 Nephi 3:13; Jacob 4:7; Alma 34:17; 3 Nephi 22:8; Ether 12:26–28; Doctrine and Covenants 24:11; 2 Nephi 28:21; Ether 12:27; Alma 57:25; Alma 58:40; Doctrine and Covenants 1:31; Matthew 16:25; Doctrine and Covenants 88:125; Alma 17:14; Alma 23:4–7; Alma 24:20–27; Alma 53:8–9; Alma 53:10–13; Alma 53:14–16; Alma 56:48; Alma 53:17–22; Alma 53:15; Doctrine and Covenants 58:42; Alma 53:4; Ether 12:27; 1 Samuel 12:15; Isaiah 1:20; 1 Nephi 2:23; Mosiah 15:26; Alma 9:24; Doctrine and Covenants 76:25; Moses 4:3; Proverbs 28:13; 1 Corinthians 2:3; 2 Corinthians 13:4; James 3:17; 2 Nephi 3:13; Jacob 4:7; Alma 34:17; 3 Nephi 22:8; Ether 12:26–28; Doctrine and Covenants 24:11; 2 Nephi 28:21; Ether 12:27; Alma 57:25; Alma 58:40; Doctrine and Covenants 1:31; Matthew 16:25; Doctrine and Covenants 88:125
171,Jeremiah 8:22; Job 5:7; Job 1:1; Job 2:9; Job 16:19; Job 19:25; Joshua 1:5; Matthew 11:28–30; Joshua 1:5; Jeremiah 8:22; Job 5:7; Job 1:1; Job 2:9; Job 16:19; Job 19:25; Joshua 1:5; Matthew 11:28–30; Joshua 1:5
172,1 Nephi 5:13; Jeremiah 1:5; 1 Nephi 2:2; Jeremiah 2:11; Jeremiah 8:20; Jeremiah 4:19; Jeremiah 5:1; 1 Nephi 10:14; 2 Kings 17:6; Doctrine and Covenants 110:11; Faith 1:10; 2 Nephi 10:22; 3 Nephi 20:13; Doctrine and Covenants 84:49; Acts 17:21; Doctrine and Covenants 29:7; Doctrine and Covenants 45:71; 1 Nephi 5:13; Jeremiah 1:5; 1 Nephi 2:2; Jeremiah 2:11; Jeremiah 8:20; Jeremiah 4:19; Jeremiah 5:1; 1 Nephi 10:14; 2 Kings 17:6; Doctrine and Covenants 110:11; Faith 1:10; 2 Nephi 10:22; Doctrine and Covenants 84:49; Acts 17:21; Doctrine and Covenants 29:7; Doctrine and Covenants 45:71
173,Doctrine and Covenants 84:20; Doctrine and Covenants 138:37; Doctrine and Covenants 84:35; 1 Nephi 11:16; 2 Nephi 26:33; Doctrine and Covenants 84:16; John 15:16; History 1:72; Moroni 10:8; 3 Nephi 30:2; Matthew 6:22–23; Matthew 5:28; Alma 39:9; Doctrine and Covenants 50:23; James 5:14; Hebrews 5:4; Isaiah 55:8; Jacob 4:13; Doctrine and Covenants 81:4; at 5:00; Doctrine and Covenants 84:20; Doctrine and Covenants 138:37; Doctrine and Covenants 84:35; 1 Nephi 11:16; 2 Nephi 26:33; Doctrine and Covenants 84:16; John 15:16; History 1:72; Moroni 10:8; 3 Nephi 30:2; Matthew 6:22–23; Matthew 5:28; Alma 39:9; Doctrine and Covenants 50:23; James 5:14; Hebrews 5:4; Isaiah 55:8; Jacob 4:13; Doctrine and Covenants 81:4
174,Romans 1:16; Doctrine and Covenants 11:20; Doctrine and Covenants 11:21; 1 Thessalonians 1:5; Alma 17:2–3; Doctrine and Covenants 100:6; Romans 1:16; Doctrine and Covenants 11:20; Doctrine and Covenants 11:21; 1 Thessalonians 1:5; Alma 17:2–3; Doctrine and Covenants 100:6
175,1 Nephi 8:21; 1 Nephi 8:24; 1 Nephi 8:30; Mosiah 18:9; Doctrine and Covenants 81:5; Romans 3:23; Doctrine and Covenants 88:77; Doctrine and Covenants 50:22; Doctrine and Covenants 107:99; Doctrine and Covenants 88:78; 2 Nephi 28:21; 2 Nephi 31:20; Doctrine and Covenants 84:38; 1 Nephi 15:36; 1 Nephi 8:21; 1 Nephi 8:24; 1 Nephi 8:30; Mosiah 18:9; Doctrine and Covenants 81:5; Romans 3:23; Doctrine and Covenants 88:77; Doctrine and Covenants 50:22; Doctrine and Covenants 107:99; Doctrine and Covenants 88:78; 2 Nephi 28:21; 2 Nephi 31:20; Doctrine and Covenants 84:38; 1 Nephi 15:36
176,2 Timothy 3:2; Matthew 7:20; Matthew 1:37; Moroni 10:4; Alma 30:44; Matthew 16:15–19
177,Mosiah 5:13; Alma 32:6; Ether 2:20; Ether 2:23–24; Moses 1:39; Alma 36:3; Helaman 10:4–5; D&C 64:22; Luke 24:32; John 1:39; Enos 1:27
178,Genesis 1:27; Colossians 3:10; Alma 18:34; Ether 3:15; Moses 6:9; Matthew 10:37; Mark 12:30–31; Doctrine and Covenants 88:15; Ether 12:27; Alma 40:23; Alma 42:8; Psalm 116:15; 1 Corinthians 3:16; Abraham 3:23; Jeremiah 1:5; Alma 13:2–3; Doctrine and Covenants 138:55; Alma 13:2–3; Doctrine and Covenants 138:38; Doctrine and Covenants 4:6; Alma 5:14; Moroni 10:8–19; Doctrine and Covenants 46:10; 1 Corinthians 6:9; James 1:25–27; Doctrine and Covenants 130:20; 2 Nephi 2:25; Abraham 3:25; Mosiah 4:10; Alma 39:9; Helaman 15:7; Doctrine and Covenants 138:4; Faith 1:3; Ether 12:33–34; Moroni 8:17; Mosiah 5:2; Alma 5:12–14; Romans 8:13–17; Galatians 5:13–25; Doctrine and Covenants 88:86; 2 Nephi 2:27; Doctrine and Covenants 131:1; Matthew 19:4–6; Mosiah 29:26–27; Helaman 5:2; Genesis 2:24–25; Exodus 20:14; Leviticus 18:22; Deuteronomy 5:18; Matthew 5:27–28; Mark 10:19; Luke 18:20; Romans 1:26–27; Mosiah 13:22; 3 Nephi 12:27; Doctrine and Covenants 42:24; Doctrine and Covenants 14:7; Moses 1:39; 2 Nephi 9:41; Mosiah 16:10; Doctrine and Covenants 137:9; Hebrews 4:12; Alma 18:32; Doctrine and Covenants 6:16; Genesis 1:27; Colossians 3:10; Alma 18:34; Ether 3:15; Moses 6:9; Matthew 10:37; Mark 12:30–31; Doctrine and Covenants 88:15; Ether 12:27; Alma 40:23; Alma 42:8; Psalm 116:15; 1 Corinthians 3:16; Abraham 3:23; Jeremiah 1:5; Alma 13:2–3; Doctrine and Covenants 138:55; Alma 13:2–3; Doctrine and Covenants 138:38; Doctrine and Covenants 4:6; Alma 5:14; Moroni 10:8–19; Doctrine and Covenants 46:10; 1 Corinthians 6:9; James 1:25–27; Doctrine and Covenants 130:20; 2 Nephi 2:25; Abraham 3:25; Mosiah 4:10; Alma 39:9; Helaman 15:7; Doctrine and Covenants 138:4; Faith 1:3; Ether 12:33–34; Moroni 8:17; Mosiah 5:2; Alma 5:12–14; Romans 8:13–17; Galatians 5:13–25; Doctrine and Covenants 88:86; 2 Nephi 2:27; Doctrine and Covenants 131:1; Matthew 19:4–6; Mosiah 29:26–27; Helaman 5:2; Genesis 2:24–25; Exodus 20:14; Leviticus 18:22; Deuteronomy 5:18; Matthew 5:27–28; Mark 10:19; Luke 18:20; Romans 1:26–27; Mosiah 13:22; 3 Nephi 12:27; Doctrine and Covenants 42:24; Doctrine and Covenants 14:7; Moses 1:39; 2 Nephi 9:41; Mosiah 16:10; Doctrine and Covenants 137:9; Hebrews 4:12; Alma 18:32; Doctrine and Covenants 6:16
179,1 Nephi 14:14; John 13:35; Mosiah 27:14; Doctrine and Covenants 18:13; 2 Nephi 5:27; Alma 50:23; Alma 50:22; Mosiah 18:11; Doctrine and Covenants 84:38; Genesis 29:20; John 3:16; John 14:21; John 10:11; 1 Nephi 14:14; John 13:35; Mosiah 27:14; Doctrine and Covenants 18:13; 2 Nephi 5:27; Alma 50:23; Alma 50:22; Mosiah 18:11; Doctrine and Covenants 84:38; Genesis 29:20; John 3:16; John 14:21; John 10:11
180,Mosiah 18:8–10; Doctrine and Covenants 20:77; Moses 1:39; Doctrine and Covenants 25:1; 2 Nephi 31:18; 2 Nephi 31:20; Luke 22:32; Alma 26:2–3; Alma 26:11–12; Mosiah 18:8–10; Doctrine and Covenants 20:77; Moses 1:39; Doctrine and Covenants 25:1; 2 Nephi 31:18; 2 Nephi 31:20; Luke 22:32; Alma 26:2–3; Alma 26:11–12
181,Jacob 2:3; Jacob 3:1–2; Mosiah 23:21–22; Doctrine and Covenants 58:3; Doctrine and Covenants 82:10; Jacob 2:3; Jacob 3:1–2; Mosiah 23:21–22; Doctrine and Covenants 82:10
182,Matthew 5:13–14; Philippians 4:6–7; Doctrine and Covenants 90:24; Luke 22:42; Luke 21:36; 2 Nephi 32:9; 3 Nephi 18:15; Doctrine and Covenants 10:5; 3 Nephi 20:1; Matthew 5:13–14; Philippians 4:6–7; Doctrine and Covenants 90:24; Luke 22:42; Luke 21:36; 2 Nephi 32:9; 3 Nephi 18:15; Doctrine and Covenants 10:5; 3 Nephi 20:1
183,Isaiah 32:17; Doctrine and Covenants 38:30; Doctrine and Covenants 101:78; Alma 45:16; John 8:11; Moroni 7:16; Isaiah 32:17; Doctrine and Covenants 38:30; Doctrine and Covenants 101:78; Alma 45:16; John 8:11; Moroni 7:16
184,at 5:04; Helaman 5:12; Ephesians 2:21; Alma 37:37; 2 Nephi 32:3; 3 Nephi 14:24; Matthew 7:24–27
185,Mosiah 18:9; Doctrine and Covenants 82:10; Moroni 9:9; Mosiah 18:9; Mosiah 18:9; Doctrine and Covenants 82:10; Moroni 9:9
186,Luke 5:17; Mark 2:2; Luke 5:20; Matthew 9:2; Mark 2:5; John 2:1–11; Mark 1:21–28; Luke 4:33–37; John 4:46–54; Matthew 8:1–4; Mark 1:40–45; Luke 5:12–15; Matthew 8:14–15; Mark 1:29–31; Luke 4:38–39; Matthew 8:16–17; Mark 1:32–34; Luke 4:40–41; Luke 5:22–23; Matthew 9:3–5; Mark 2:6–9; Luke 5:24; Matthew 9:6–7; Mark 2:10–12; 1 Corinthians 6:9; Alma 11:34; Helaman 5:10–11; 2 Peter 2:20; James 2:10; Doctrine and Covenants 82:7; Isaiah 1:18; Jeremiah 31:34; Luke 7:36–50; Enos 1:5; Alma 24:10; Moroni 6:8; Doctrine and Covenants 1:32; Jacob 4:7; Alma 14:26; Moroni 10:7; Mosiah 3:19; 2 Nephi 10:24; Alma 32:28; Matthew 18:21–22; Luke 17:1–4; Doctrine and Covenants 20:5; Doctrine and Covenants 20:5; History 1:28; Doctrine and Covenants 64:2; 1 Nephi 20:9; Doctrine and Covenants 24:2; Doctrine and Covenants 64:3; Doctrine and Covenants 64:7; Doctrine and Covenants 1:31; Alma 45:16; Doctrine and Covenants 132:27; Matthew 12:31; Luke 12:10; Exodus 20:13; Mosiah 13:21; Doctrine and Covenants 132:19; Moses 5:31–36; Alma 39:5; Doctrine and Covenants 42:24; Doctrine and Covenants 42:22; Doctrine and Covenants 82:3; John 15:22; Moroni 6:8; Mosiah 15:26; 1 Samuel 16:7; Psalm 24:3–4; Proverbs 23:7; Matthew 15:18–20; Mark 7:20–23; Hebrews 3:12; 3 Nephi 12:19; Doctrine and Covenants 59:8; Doctrine and Covenants 20:29; Doctrine and Covenants 117:11; Revelation 2:6; Doctrine and Covenants 56:15; 2 Nephi 25:23; Doctrine and Covenants 138:4; Moses 7:21; Ether 12:27; John 15:22; Doctrine and Covenants 1:33; Alma 41:5–6; 3 Nephi 9:20; Doctrine and Covenants 137:9; 1 Nephi 15:33; Alma 41:3–4; Doctrine and Covenants 137:9; Matthew 6:14–15; Doctrine and Covenants 64:8; Doctrine and Covenants 38:10; Romans 3:23; Doctrine and Covenants 62:1; Alma 7:12; Doctrine and Covenants 61:39; Alma 34:18; 2 Nephi 31:19; Alma 7:14; Helaman 13:11; Doctrine and Covenants 19:4; Doctrine and Covenants 64:8; Doctrine and Covenants 101:9; Doctrine and Covenants 82:1; Alma 34:15–17; Luke 5:17; Mark 2:2; Luke 5:20; Matthew 9:2; Mark 2:5; John 2:1–11; Mark 1:21–28; Luke 4:33–37; John 4:46–54; Matthew 8:1–4; Mark 1:40–45; Luke 5:12–15; Matthew 8:14–15; Mark 1:29–31; Luke 4:38–39; Matthew 8:16–17; Mark 1:32–34; Luke 4:40–41; Luke 5:22–23; Matthew 9:3–5; Mark 2:6–9; Luke 5:24; Matthew 9:6–7; Mark 2:10–12; 1 Corinthians 6:9; Alma 11:34; Helaman 5:10–11; 2 Peter 2:20; James 2:10; Doctrine and Covenants 82:7; Isaiah 1:18; Jeremiah 31:34; Luke 7:36–50; Enos 1:5; Alma 24:10; Moroni 6:8; Doctrine and Covenants 1:32; Jacob 4:7; Alma 14:26; Moroni 10:7; Mosiah 3:19; 2 Nephi 10:24; Alma 32:28; Matthew 18:21–22; Luke 17:1–4; Doctrine and Covenants 20:5; Doctrine and Covenants 20:5; History 1:28; Doctrine and Covenants 64:2; 1 Nephi 20:9; Doctrine and Covenants 24:2; Doctrine and Covenants 64:3; Doctrine and Covenants 64:7; Doctrine and Covenants 1:31; Alma 45:16; Doctrine and Covenants 132:27; Matthew 12:31; Luke 12:10; Exodus 20:13; Mosiah 13:21; Doctrine and Covenants 132:19; Moses 5:31–36; Alma 39:5; Doctrine and Covenants 42:24; Doctrine and Covenants 42:22; Doctrine and Covenants 82:3; John 15:22; Moroni 6:8; Mosiah 15:26; 1 Samuel 16:7; Psalm 24:3–4; Proverbs 23:7; Matthew 15:18–20; Mark 7:20–23; Hebrews 3:12; 3 Nephi 12:19; Doctrine and Covenants 59:8; Doctrine and Covenants 20:29; Doctrine and Covenants 117:11; Revelation 2:6; Doctrine and Covenants 56:15; 2 Nephi 25:23; Doctrine and Covenants 138:4; Moses 7:21; Ether 12:27; John 15:22; Doctrine and Covenants 1:33; Alma 41:5–6; 3 Nephi 9:20; Doctrine and Covenants 137:9; 1 Nephi 15:33; Alma 41:3–4; Doctrine and Covenants 137:9; Matthew 6:14–15; Doctrine and Covenants 64:8; Doctrine and Covenants 38:10; Romans 3:23; Doctrine and Covenants 62:1; Alma 7:12; Doctrine and Covenants 61:39; Alma 34:18; 2 Nephi 31:19; Alma 7:14; Helaman 13:11; Doctrine and Covenants 19:4; Doctrine and Covenants 64:8; Doctrine and Covenants 101:9; Doctrine and Covenants 82:1; Alma 34:15–17
187,Moses 1:33; Moses 1:39; D&C 81:4; John 7:37; John 4:14; John 8:12
188,Doctrine and Covenants 88:63; Doctrine and Covenants 6:20; Luke 24:5–7; Mark 16:7; Luke 24:15–18; Luke 24:25–27; Luke 24:28–29; Luke 24:32; Luke 24:46–48; Mosiah 18:8–11; Doctrine and Covenants 84:88; Doctrine and Covenants 100:1; Mosiah 27:14; Doctrine and Covenants 14:6; Doctrine and Covenants 59:2; History 1:17; Matthew 11:28; Matthew 25:21; Doctrine and Covenants 88:63; Doctrine and Covenants 6:20; Luke 24:5–7; Mark 16:7; Luke 24:15–18; Luke 24:25–27; Luke 24:28–29; Luke 24:32; Luke 24:46–48; Mosiah 18:8–11; Doctrine and Covenants 84:88; Doctrine and Covenants 100:1; Mosiah 27:14; Doctrine and Covenants 14:6; Doctrine and Covenants 59:2; History 1:17; Matthew 11:28; Matthew 25:21
189,Doctrine and Covenants 115:6; Luke 2:14; Matthew 2:16; Matthew 10:16; Matthew 10:34; Doctrine and Covenants 84:46; Doctrine and Covenants 1:33; Doctrine and Covenants 1:35; Doctrine and Covenants 59:23; Doctrine and Covenants 121:7; 1 Corinthians 14:33; Isaiah 9:6; Mosiah 4:3; Doctrine and Covenants 88:6; Doctrine and Covenants 39:6; Mosiah 26:29; John 14:26–27; John 16:33; Doctrine and Covenants 115:6; Luke 2:14; Matthew 2:16; Matthew 10:16; Matthew 10:34; Doctrine and Covenants 84:46; Doctrine and Covenants 1:33; Doctrine and Covenants 1:35; Doctrine and Covenants 59:23; Doctrine and Covenants 121:7; 1 Corinthians 14:33; Isaiah 9:6; Mosiah 4:3; Doctrine and Covenants 88:6; Doctrine and Covenants 39:6; Mosiah 26:29; John 14:26–27; John 16:33
