,scripture_references
16,Moroni 10:4; 1 Nephi 1:1; 1 Nephi 2:11; 1 Nephi 4:3; 1 Nephi 3:5; 1 Nephi 3:14; 1 Nephi 7:20; 1 Nephi 15:7; 1 Nephi 15:8; 1 Nephi 15:9; 1 Nephi 15:10; Alma 5:26; Alma 26:27; Alma 17:2; 1 Nephi 8:30; 2 Nephi 32:3; Alma 17:3; Isaiah 58:6; Isaiah 58:9; Doctrine and Covenants 6:23; Alma 32:27–28; Moroni 10:4; 1 Nephi 1:1; 1 Nephi 2:11; 1 Nephi 4:3; 1 Nephi 3:5; 1 Nephi 3:14; 1 Nephi 7:20; 1 Nephi 15:7; 1 Nephi 15:8; 1 Nephi 15:9; 1 Nephi 15:10; Alma 5:26; Alma 26:27; Alma 17:2; 1 Nephi 8:30; 2 Nephi 32:3; Alma 17:3; Isaiah 58:6; Isaiah 58:9; Doctrine and Covenants 6:23; Alma 32:27–28
17,Alma 7:11; 2 Nephi 9:21; Alma 7:12; Hebrews 2:18; Luke 4:18; Luke 5:15; 3 Nephi 17:9; Matthew 8:17; Isaiah 53:4; Isaiah 41:10; Philippians 4:13; Luke 15:11–32; Psalm 34:19; Alma 7:11–12; Alma 26:37; Luke 2:10; James 4:10; D&C 88:6; D&C 6:5; Matthew 7:7; 1 Timothy 4:10; Luke 10:34; Revelation 21:4
18,Matthew 15:28; Matthew 6:30; Luke 8:25; Matthew 8:10; Hebrews 11:1; Alma 32:35; Ephesians 2:8; 1 Samuel 15:22; Luke 22:32; Doctrine and Covenants 8:2; 1 Corinthians 2:11; John 14:16–17; 1 Corinthians 2:14; 3 Nephi 2:1; Ephesians 4:11–14; Matthew 15:28; Matthew 6:30; Luke 8:25; Matthew 8:10; Hebrews 11:1; Alma 32:35; Ephesians 2:8; 1 Samuel 15:22; Luke 22:32; Doctrine and Covenants 8:2; 1 Corinthians 2:11; John 14:16–17; 1 Corinthians 2:14; 3 Nephi 2:1; Ephesians 4:11–14
19,Moroni 7:40–41; 1 Nephi 10:21; Moses 6:57; Alma 5:21; Doctrine and Covenants 50:28; Moroni 10:32; Mosiah 4:6–7; Alma 34:9; Moroni 7:41; Moroni 7:33; 3 Nephi 11:38; Mosiah 3:19; Moroni 8:10; Malachi 3:10; Doctrine and Covenants 41:1; Moroni 7:33; Doctrine and Covenants 46:9; Moroni 4:3; Doctrine and Covenants 20:77; Doctrine and Covenants 20:77; Doctrine and Covenants 59:9; Mosiah 3:19; Moroni 7:33; Moroni 10:32; 2 Nephi 2:25; Moroni 7:40–41; 1 Nephi 10:21; Moses 6:57; Alma 5:21; Doctrine and Covenants 50:28; Moroni 10:32; Mosiah 4:6–7; Alma 34:9; Moroni 7:41; Moroni 7:33; 3 Nephi 11:38; Mosiah 3:19; Moroni 8:10; Malachi 3:10; Doctrine and Covenants 41:1; Moroni 7:33; Doctrine and Covenants 46:9; Moroni 4:3; Doctrine and Covenants 20:77; Doctrine and Covenants 20:77; Doctrine and Covenants 59:9; Mosiah 3:19; Moroni 7:33; Moroni 10:32; 2 Nephi 2:25
20,Daniel 2:19; Doctrine and Covenants 52:40; Acts 10:34–35; Alma 32:27; Doctrine and Covenants 50:24; Mark 5:36; Moroni 10:3–5; Isaiah 26:3; John 6:35; John 4:14; 2 Nephi 2:25; Daniel 2:19; Doctrine and Covenants 52:40; Acts 10:34–35; Alma 32:27; Doctrine and Covenants 50:24; Mark 5:36; Moroni 10:3–5; Isaiah 26:3; John 6:35; John 4:14; 2 Nephi 2:25
21,Matthew 25:23; Matthew 25:23
22,Exodus 20:1–17; Matthew 22:39; 1 Peter 5:8; 1 Corinthians 14:10; Isaiah 30:21; 2 Nephi 26:22; Moses 4:4; Isaiah 1:18; Jeremiah 31:34; Exodus 20:1–17; Matthew 22:39; 1 Peter 5:8; 1 Corinthians 14:10; Isaiah 30:21; 2 Nephi 26:22; Moses 4:4; Isaiah 1:18; Jeremiah 31:34
23,Matthew 5:16; 1 Timothy 4:12; Moroni 7:47; Doctrine and Covenants 90:24; Matthew 5:8; Psalm 27:1; John 8:12; Doctrine and Covenants 6:21; Matthew 5:16; 1 Timothy 4:12; Moroni 7:47; Doctrine and Covenants 90:24; Matthew 5:8; Psalm 27:1; John 8:12; Doctrine and Covenants 6:21
24,John 13:34; Alma 29:1; John 13:34; Alma 29:1
25,after 9:00; Doctrine and Covenants 1:23; Doctrine and Covenants 1:17; Abraham 2:8; 2 Timothy 3:1; Doctrine and Covenants 1:23; Doctrine and Covenants 1:17; Abraham 2:8; 2 Timothy 3:1
