,List
66,"Where Justice, Love, and Mercy Meet (Jeffrey R. Holland, 2015 Annual General Conference, Ensign)"
67,"The Gift of Grace (Dieter F. Uchtdorf, 2015 Annual General Conference, Ensign)"
68,"Preserving Agency, Protecting Religious Freedom (Robert D. Hales, 2015 Annual General Conference, Ensign)"
69,"Stay by the Tree (Kevin W. Pearson, 2015 Annual General Conference, Ensign)"
70,"The Eternal Perspective of the Gospel (Rafael E. Pino, 2015 Annual General Conference, Ensign)"
71,"Thy Kingdom Come (Neil L. Andersen, 2015 Annual General Conference, Ensign)"
72,"If You Will Be Responsible (Jorge F. Zeballos, 2015 Annual General Conference, Ensign)"
73,"Be Fruitful, Multiply, and Subdue the Earth (Joseph W. Sitati, 2015 Annual General Conference, Ensign)"
74,"The Sabbath Is a Delight (Russell M. Nelson, 2015 Annual General Conference, Ensign)"
75,"Welcome to Conference (Thomas S. Monson, 2014 Semi-Annual General Conference, Ensign)"
76,"The Reason for Our Hope (Boyd K. Packer, 2014 Semi-Annual General Conference, Ensign)"
77,"Which Way Do You Face? (Lynn G. Robbins, 2014 Semi-Annual General Conference, Ensign)"
78,"The Sacrament—a Renewal for the Soul (Cheryl A. Esplin, 2014 Semi-Annual General Conference, Ensign)"
79,"Rescue in Unity (Chi Hong (Sam) Wong, 2014 Semi-Annual General Conference, Ensign)"
80,"Free Forever, to Act for Themselves (D. Todd Christofferson, 2014 Semi-Annual General Conference, Ensign)"
81,"Receiving a Testimony of Light and Truth (Dieter F. Uchtdorf, 2014 Semi-Annual General Conference, Ensign)"
82,"Loving Others and Living with Differences (Dallin H. Oaks, 2014 Semi-Annual General Conference, Ensign)"
83,"Joseph Smith (Neil L. Andersen, 2014 Semi-Annual General Conference, Ensign)"
84,"Parents: The Prime Gospel Teachers of Their Children (Tad R. Callister, 2014 Semi-Annual General Conference, Ensign)"
85,"Approaching the Throne of God with Confidence (Jörg Klebingat, 2014 Semi-Annual General Conference, Ensign)"
86,"Yes, Lord, I Will Follow Thee (Eduardo Gavarret, 2014 Semi-Annual General Conference, Ensign)"
87,"Are We Not All Beggars? (Jeffrey R. Holland, 2014 Semi-Annual General Conference, Ensign)"
88,"Finding Lasting Peace and Building Eternal Families (L. Tom Perry, 2014 Semi-Annual General Conference, Ensign)"
89,"Choose Wisely (Quentin L. Cook, 2014 Semi-Annual General Conference, Ensign)"
90,"I Know These Things of Myself (Craig C. Christensen, 2014 Semi-Annual General Conference, Ensign)"
