year,scripture_references
1830,John 11:16; D&C 1:19; John 14:9; Acts 17:19–20; H 1:17
1961,John 8:12; Acts 4:12; Moses 4:3; Matt. 11:28-30 D&C 1:10; F 1:13; Mark 12:31 D&C 6:33; D&C 68:6; D&C 121:41; Alma 5:26; Ne. 8:11-12; D&C 38:30; Alma 38:13 D&C 88:1; D&C 88:124; D&C 88:6; D&C 88:126; D&C 88:118 Moro. 10:27-30; Ether 12:26; Ne. 26:8-10; Ether 4:2; Ether 4:6; Ether 3:25 Matt. 10:16-17; Hel. 14:2-9; D&C 89:4 John 4:24; Matt. 27:52-53; D&C 130:22; Acts 17:22; D&C 93:33 Ether 2:9; Isa. 44:27-28; Ether 2:12; Kgs. 19:35-37; D&C 82:10; D&C 105:14; Lev. 26:14-43; Dan. 5:1-31; Sam. 17:45-47; Lev. 26:4-6; D&C 19:4; Ne. 8:24-25; Judg. 7:1-25 D&C 24:2; John 8:11; D&C 65:2; D&C 84:80 D&C 4:5; Ne. 11:28-30 D&C 1:20 Ether 2:9; Ether 2:11; D&C 95:1; DHC 1:71; JD 10:335; Ether 2:8; Hel. 12:1-3; D&C 133:7; Mosiah 2:22; Luke 17:26 Ne. 13:5-6; Enos 1:10; John 15:26; D&C 45:58; D&C 45:57; Ne. 22:16-17; D&C 1:34; D&C 45:35; D&C 45:25; D&C 9:6 Amos 8:11; Luke 21:32; Acts 3:21; Thes. 2:1-2; John 15:16; Acts 3:19; Revelation 22:9; Luke 1:11; D&C 76:19; Tim. 4:3-4 D&C 38:27 D&C 101:80; D&C 1:14; D&C 98:5; Ether 2:12; D&C 84:114; Ether 8:22; D&C 93:43; D&C 82:5; Ne. 13:13-16; D&C 101:77; Ether 8:25; Ne. 13:16-19; Hel. 11:25-26; Ne. 14:1-2; Ether 8:24; Ne. 10:11-16; Ne. 10:8-14; Ether 8:23 F 1:9; D&C 115:6; D&C 84:108; D&C 38:27; Moses 1:39; Cor. 12:14-28 Moses 4:1 John 3:3 F 1:8; F 1:5; John 14:16; H 1:17; Jude 1:4; F 1:9; Amos 3:7; Moses 4:14; Moses 5:4; James 2:26; John 16:3; Rev. 14:6-7; Acts 26:8; Luke 1:28; Cor. 2:10-11; John 17:3; John 12:49; D&C 132:8; Luke 1:20 Mosiah 2:37; D&C 132:12; D&C 59:9; D&C 82:10; D&C 42:29; Moses 1:39; Alma 41:10 Moses 4:3; D&C 76:29; Acts 2:38; D&C 38:27; John 3:16; James 1:22; Acts 26:25 Luke 2:10; James 1:26; John 10:10; D&C 29:34; Job 38:7 D&C 84:43; Dan. 2:34-35; Eccl. 12:13-14; D&C 130:20; D&C 82:10; John 9:4; D&C 78:7; Micah 6:8; D&C 59:23; Abr. 3:24-25; Ne. 28:8-9 John 3:11 James 1:5 D&C 20:68; D&C 110:11; Joel 2:28; Mark 16:15; H 1:41; Acts 2:41; D&C 33:3; D&C 29:7 Mosiah 8:16; Mosiah 8:13; Mosiah 8:15 James 2:18; Acts 4:12; James 2:14 James 1:27 John 4:34; Luke 2:14; John 4:35 Proverbs 6:16; Revelation 14:6; Prov. 6:16-19; Rev. 14:6-7; F 1:13; H 1:17 John 4:35; Matt. 13:3-8; Luke 9:57; Luke 9:62; D&C 75:5; Luke 9:59; Luke 9:61 D&C 29:39; John 3:9; Mark 16:15; John 3:16; Mosiah 18:10; Acts 2:38; John 3:5; Pet. 3:18-21; D&C 4:4; D&C 88:81; John 3:17; Alma 17:2; Alma 34:32; John 5:25; Jacob 1:18; Moses 6:60; D&C 88:77; Matt. 16:18-19; John 3:1; John 20:23 D&C 119:4; Moses 4:2; D&C 68:28; Moses 4:1; D&C 89:1; Mark 12:30; D&C 88:124; Mark 12:31 Moro. 10:3-4; Jer. 31:31-34; D&C 17:6; D&C 20:6 Moses 1:32; D&C 89:19; Matt. 26:51-53; D&C 59:4; Mal. 3:17-18; Mal. 3:10-12; John 1:14; Amos 3:7; John 1:9; Mal. 3:13-15; D&C 82:10; D&C 89:3; Abr. 3:24-25; John 1:1; John 10:18; Moses 1:35 Eph. 3:14-15; Matt. 19:7-10; Matt. 19:3-6 Hel. 14:2-5; Ne. 8:5-6; Ne. 11:10-11 John 3:3; D&C 135:3; John 17:3; before 10:00 D&C 1:2; Mark 16:15 D&C 132:5; D&C 84:33; D&C 130:20; D&C 132:19; D&C 76:55; James 2:10; D&C 50:28; John 3:35; D&C 84:40; Jn. 3:1-3; John 17:21; D&C 132:37; D&C 58:28; D&C 84:43 Matt. 7:1-2; John 8:6; Matt. 22:36-40; D&C 64:7; Matt. 18:21-22; Luke 23:34; D&C 64:11 Moses 7:29; Moses 7:67; Ne. 6:15-16; Ether 2:12; Mosiah 4:9; D&C 98:8; D&C 123:12; Moses 7:62; Mosiah 2:41 D&C 14:7 Josh. 3:7-17; John 11:43; Matt. 11:21-24; Acts 1:11; Mark 4:39; Sam. 28:7-19; Matt. 14:25-31; Matt. 14:20-21; Luke 7:11; Luke 4:8; John 9:7; Luke 4:29; John 20:17; Josh. 6:1-27 John 3:5; H 1:17; D&C 18:15 Joel 2:28; Luke 22:31; John 4:35; Luke 10:2 about 9:15; at 9:30 James 1:27; D&C 89:1 F 1:8; John 17:3; D&C 42:12; John 15:26; D&C 76:22; Job 32:8; Matt. 13:3-8; John 21:17; Matt. 28:19-20; Moses 1:39; Eph. 4:4-6; Acts 4:12; D&C 43:15; Cor. 2:1-5; Matt. 3:15-17; Acts 2:2; Acts 2:36 D&C 68:8; H 1:21; Moro. 10:4-5; H 1:24; H 1:17; Eph. 2:19-20 D&C 101:80; D&C 1:1 DHC 4:461; Moses 7:30; D&C 19:18; Ether 3:14; Ne. 27:1-8; Ne. 27:13-21; Moses 4:2; Luke 22:44; D&C 115:3; John 14:6; D&C 76:1; D&C 45:9 Matt. 7:28-29 D&C 68:30; Thes. 3:10-13; D&C 42:42; D&C 75:29 D&C 93:36; D&C 130:18; D&C 95:5; Cor. 1:26-27; John 7:45; Ne. 9:28-29; D&C 131:6; Sam. 2:12-17 D&C 18:10; Mark 12:30; D&C 18:15
1962,Ps. 8:4-5; John 11:25; John 7:17; John 4:23; D&C 18:15; Moses 1:39; John 3:1; D&C 1:22; Gen. 25:30-34 H 1:12; H 1:10; James 1:5; D&C 1:23; H 1:13 D&C 128:1; D&C 58:27; D&C 45:1; D&C 107:99; Matt. 19:16-23; Mark 10:21; James 4:17 Alma 46:10; Alma 46:36; Alma 46:12; Alma 46:28 Ne. 9:5-10; Alma 7:10; Mosiah 15:1; Mosiah 5:7; Mosiah 5:8 John 20:19; Mark 9:23; John 20:28; Matt. 28:1-10; John 9:2; Luke 24:34; John 20:26; John 9:6; John 9:14; Luke 24:14; John 20:25; John 20:11; John 20:24; John 20:29; Mark 4:40; John 9:11; John 9:35 D&C 1:2; John 14:27; D&C 105:39 D&C 63:58; Moro. 10:4-5; Acts 2:37; Alma 29:9; Matt. 22:37-39; D&C 49:11; D&C 29:7 John 7:17 John 8:31; John 17:3; F 1:9; Rev. 14:6-7; F 1:1 F 1:8; John 6:66; John 17:3; Acts 1:15; H 1:17; John 14:9; James 1:5; D&C 110:4; D&C 76:22; Ex. 24:9-10; Acts 7:14 Jacob 1:17; H 1:18; Ether 12:6; James 1:5; Ne. 32:4-5; H 1:13 D&C 42:22; Jacob 2:35; Alma 12:14; D&C 46:27; Eph. 5:22-24; Mark 16:15; Morm. 9:4-5; D&C 1:33; D&C 19:20; D&C 132:52; D&C 42:23; Eph. 5:3-4; Alma 5:17; D&C 58:43; D&C 29:10; D&C 36:6; Jacob 2:5; D&C 19:25; Jacob 3:11; D&C 82:19; D&C 33:2; Jacob 2:31; D&C 42:24; Gen. 39:7-20; D&C 33:1; D&C 6:9; Jacob 2:10; D&C 29:8; D&C 4:5; Acts 5:3; D&C 49:15; Matt. 5:27-28 Job 1:6; Job 1:12; Job 2:4; Job 19:25; Job 2:1; Job 42:10; Job 1:21 H 1:25; John 8:11; H 1:14; D&C 13:1; D&C 10:63; H 1:16; H 1:11; Moro. 7:22-24 Matt. 16:24-26 D&C 84:108 Cor. 12:14-27 D&C 20:38; D&C 27:15; D&C 107:99 D&C 20:81; D&C 20:60; at 10:00; about 7:00; about 9:00; and 2:00 D&C 93:36; Matt. 21:28-31; D&C 131:6 D&C 38:30; D&C 63:33 Eph. 4:11-13 Acts 8:36; Alma 12:24; F 1:4; Acts 9:20; John 17:3; Rev. 14:6-7; Matt. 11:28-30; Matt. 28:19-20; D&C 18:44; Moses 1:39; James 1:5; Acts 2:36; D&C 4:1; Eph. 2:19-20 Acts 17:24; Alma 37:47; Alma 4:19; D&C 105:14; D&C 84:46; D&C 5:19; D&C 84:48; D&C 45:59; John 10:10; D&C 38:22; H 1:19 Ne. 1:1-3; F 1:4 Rev. 21:6-7; Mosiah 2:17; Rev. 3:20-21 Cor. 2:10-11; D&C 50:22; D&C 121:43 Jn. 1:6-7; John 21:15; John 21:16; John 21:17; Jn. 4:7-8; Jn. 2:3-6 F 1:9; Cor. 12:2-4; D&C 110:13; Isa. 65:17-23; John 3:1; Cor. 15:40-42; Ezek. 37:16-19; Rom. 6:3-6; John 3:12; John 3:10 Luke 23:34; Matt. 18:21-22; John 8:7; D&C 1:31; D&C 64:9 Mark 9:2; John 11:25; John 20:31; Mark 5:2; Matt. 16:13-16; D&C 76:15; John 3:16; Mark 15:39; Mark 15:14; John 1:34; Mark 3:14; Luke 1:27; Ne. 11:3-7; Luke 6:13; Mark 14:61; Luke 1:30; John 1:45; Philip. 2:10-11; Matt. 3:13-17; H 1:14 D&C 128:15; D&C 110:14 D&C 81:5; Moses 1:39; D&C 84:106 John 3:3; John 20:28; Acts 17:22; John 14:9; DHC 1:47; Acts 17:18; Acts 17:28; D&C 4:1; H 1:17; Acts 17:19 John 14:26; D&C 1:20; D&C 38:40; D&C 11:1; D&C 4:1; Luke 21:29 Matt. 7:24-27; Mark 9:23; Cor. 3:9-10; Luke 12:32; Moses 1:39; Luke 24:38; D&C 1:31; D&C 89:8 D&C 76:55; D&C 93:12; D&C 42:29; D&C 84:40; D&C 84:41; D&C 84:43; D&C 88:76; D&C 84:38; D&C 84:34; D&C 20:9; D&C 58:27; D&C 59:1; DHC 4:461; D&C 84:33; D&C 50:40; D&C 14:7; D&C 84:42; D&C 88:117; D&C 136:32; D&C 93:27; D&C 93:20; DHC 4:588; D&C 42:1; D&C 63:23; D&C 131:6; D&C 84:39 F 1:13; John 5:25; Acts 10:38 Enos 1:10; Cor. 8:11-13; Moro. 6:1-2; Ether 12:6; Alma 17:1; D&C 90:24; D&C 8:1; John 3:6; D&C 82:10; Mark 16:20; D&C 20:37; Mosiah 18:9; Mosiah 5:7; D&C 42:11; D&C 9:9; Mosiah 18:13; Moses 1:10; H 1:19 D&C 130:20; Lev. 26:2-3; D&C 59:9; Ex. 20:8-11; D&C 59:15 Philip. 2:10-11; Matt. 10:9-10; Matt. 10:37-38; Mark 16:15; Matt. 10:7-8; Acts 10:34 D&C 58:43; D&C 1:1; Acts 22:20; D&C 82:7; Matt. 18:21-22; Luke 17:26; Acts 7:58; D&C 107:99; D&C 64:10 Dan. 2:44-45; Isa. 29:13-14; Amos 3:7; Matt. 23:27-33; Luke 23:34; D&C 4:1 Alma 7:21 Matt. 13:31-32 John 3:3; D&C 65:2; D&C 6:3 D&C 6:6 D&C 50:19; D&C 63:58; D&C 50:21; D&C 50:17 D&C 88:12; D&C 14:9; D&C 88:25; H 1:33; Acts 1:11; D&C 93:10; Matt. 28:5-6; D&C 29:23; Moses 1:4; D&C 88:45; Moses 1:38; Moses 1:5; Abr. 3:11-12; Dan. 5:5-6; Alma 10:2; Moses 7:36; D&C 133:49; Abr. 3:1-3; D&C 88:37; Moses 1:35; D&C 130:7; Moses 7:30; Luke 2:11; D&C 88:19; D&C 67:2; Moses 1:31; John 1:1; Moses 1:37 John 3:3; D&C 110:13; Mal. 4:5-6; Matt. 3:13-15; Pet. 3:18-19 Alma 30:2; Mosiah 27:22; Omni 1:26; Alma 28:2; Alma 5:46; D&C 88:119; Alma 17:3; D&C 88:76; D&C 109:8; D&C 95:16 Acts 17:26; Acts 10:34 Matt. 22:37-39; Kgs. 3:6-9; Kgs. 3:10-13; Kgs. 2:2-3 D&C 93:36; at 4:30; precisely 8:00 John 17:3; Jn. 2:3-4 Ezek. 18:31-32; JD 4:243 D&C 121:1; D&C 121:7; D&C 121:41; D&C 121:37; D&C 1:33; D&C 121:34; D&C 121:45 D&C 120:1; D&C 104:1; D&C 119:2; D&C 56:1; D&C 64:23; D&C 56:16; Amos 4:4; Neh. 10:37-38; Mal. 3:8-10; Matt. 6:19-21; Alma 9:13 D&C 121:43 D&C 93:36; D&C 130:18; Alma 7:10; D&C 131:6; Cor. 15:22-23; H 1:17 John 14:26; Acts 26:29; F 1:4; Matt. 16:15-17; John 17:3; F 1:5; Amos 3:7; Eph. 2:20-21; James 1:5; D&C 76:22; H 1:17; H 1:19 D&C 101:80; Ether 2:12; Ne. 13:12-13; H 1:16; Ne. 13:17-19 D&C 93:36; John 11:25; John 19:30; Matt. 16:15-16; Luke 18:13; John 5:26; Cor. 15:21-22; Acts 2:38; John 4:34; John 10:17; Matt. 7:20-21; Matt. 27:52-53; John 17:5; Alma 11:37; Pet. 1:5-8; John 5:25; F 1:3; Matt. 19:16-21; Luke 18:11; Job 38:7 Alma 39:11; D&C 89:4 D&C 88:73 D&C 88:73 Moses 1:39
1963,Ps. 8:4-5; Moses 1:39; Moses 3:17; F 1:13; Gal. 5:22-23 DHC 4:461; D&C 68:4; JD 23:63; JD 9:149; Moses 4:1; John 6:70; D&C 132:7; Cor. 2:10-11; Hosea 4:6; JD 11:238; D&C 50:17; M 1:5; D&C 21:4; D&C 134:2; JD 10:364; D&C 100:5 M 1:31; Jer. 31:31-34; D&C 1:1; DHC 2:23 Mosiah 4:2; Mosiah 5:2; D&C 20:37; Rom. 6:3-4; Mosiah 4:9; Luke 5:17; Acts 4:12; Luke 22:31; Pet. 1:1-9; John 3:3; Alma 36:19; Luke 5:23; DHC 2:235; Luke 4:18; D&C 112:12; Luke 5:21; Mosiah 4:3; Luke 5:20; Luke 5:18 Philip. 2:10-11; D&C 84:38; D&C 84:109; F 1:5; Ex. 34:1-2; Star 58:305; D&C 84:6; D&C 84:35; D&C 107:41; JD 7:202; D&C 94:41; Discourses 15:127; D&C 84:17; Heb. 2:17-18; Discourses 19:191; D&C 27:8; D&C 107:99 John 13:34; Cor. 13:5-6; John 13:24; John 3:16; Mark 12:30 D&C 18:10; D&C 18:15; D&C 38:15; 19 28:19 John 10:27 Mosiah 3:17; Mosiah 4:9; F 1:9; Acts 10:34; Amos 3:7; Gen. 1:26-27; Mosiah 2:41; F 1:6 D&C 93:36; D&C 84:33; D&C 121:36; D&C 107:58; Titus 2:14; Moses 1:39; D&C 107:33; D&C 107:1; D&C 84:18; D&C 84:17; D&C 84:26; D&C 130:19 James 1:8; DHC 3:304; Eph. 6:5-7; James 1:22; DHC 3:295; F 1:13 Philip. 2:10-11; John 10:16; John 14:6; Luke 7:22 Eph. 4:11-14; Matt. 24:1-2; D&C 1:30; H 1:18; Rev. 14:6-7; Amos 3:7; John 3:11; James 1:5; Thes. 2:1-3; Rev. 12:7-9; Acts 3:19; John 21:22 Luke 12:20; D&C 84:35; Luke 12:18; D&C 89:18; Mosiah 2:21 Jacob 2:35 John 21:15; Ether 12:2; John 21:3; Mark 16:15; John 3:5; John 21:6 Matt. 4:18-20; Jacob 2:18; Matt. 4:21-22; Mosiah 2:17; D&C 121:34; D&C 46:12; D&C 121:35; Luke 9:59; D&C 46:26 at 6:00; Moses 5:18; Ex. 19:16-18; Gen. 1:26-27; Moses 3:17; D&C 121:45; JD 10:57; D&C 1:31; D&C 84:43 Joel 2:10; Rev. 21:2-4; F 1:11; Mal. 3:1-2; Isa. 14:12-14; Rev. 20:1-3; Rev. 20:12-13; Moses 4:1; John 1:46; Job 19:25; Rev. 12:7-9; Luke 4:4; John 14:6; Rev. 5:11-12; John 1:1; Heb. 1:1-2; Job 38:7 Moses 8:20; Pet. 1:5-8 Moro. 7:16-17; John 15:16; DHC 2:95 D&C 97:21; Morm. 8:34-35; F 1:5; M 1:22; D&C 115:4; Ne. 28:20-21; D&C 90:24; Moro. 10:4-5; Luke 6:26; Matt. 5:10-12; D&C 20:32; DHC 4:42; D&C 39:6; Eph. 2:19-20; Gal. 3:26-29; Morm. 8:36-37; D&C 45:9; Mark 16:16; Rom. 6:3-5 D&C 98:5; Ether 2:12; D&C 101:77; Ne. 1:6-7; D&C 109:54; Deut. 11:26-28; Ether 2:8; Ne. 13:11-20; D&C 58:19; Ne. 10:9-12 Luke 23:21; Job 27:3; D&C 64:9 F 1:1; F 1:4 Mark 12:30 F 1:8 D&C 68:25; John 3:16 Tim. 3:1-4 Matt. 7:24-27; D&C 93:36; Matt. 22:37-40; Jn. 3:1-2; Jn. 4:20-21; Rom. 8:38-39; Rev. 20:1-3; Eph. 6:11-18; D&C 18:10; Moses 1:39; Luke 10:29; John 3:16; Luke 8:11; Micah 6:8; James 1:22; Matt. 13:19-23; Matt. 13:4-8 Acts 3:21; Eccl. 12:13-14; Era 13:81; D&C 130:20; D&C 89:19; D&C 59:9; Alma 41:10; D&C 87:8; Gal. 6:7-8; Cor. 3:16-17 Luke 11:9; DHC 2:18; H 1:17; Moro. 10:4-5 D&C 59:9 D&C 14:7; D&C 89:3 Micah 4:1 Isa. 58:9-12; Isa. 58:6-7; Omni 1:26; D&C 58:26; DHC 7:413 Luke 18:22; D&C 121:40; D&C 132:7; D&C 107:99; Luke 9:61 John 8:11; D&C 42:24; Cor. 6:9-10; D&C 82:3; Mosiah 16:5; Ne. 9:47-48; D&C 82:7; Jacob 2:7; Moro. 7:15-16; D&C 42:20; Alma 7:21; Alma 42:25; D&C 1:31; Rom. 6:12-13; D&C 132:26; Eph. 6:10-11 John 17:5; D&C 130:22; John 16:28; Acts 1:8; Acts 1:11; Moses 1:33; H 1:37; Mark 16:15; John 14:1; John 9:4; John 19:30; D&C 93:33; H 1:17; Acts 1:9; Luke 24:39 John 3:3; Matt. 7:7-8; John 17:3; Matt. 3:13-17; D&C 82:3; F 1:9; D&C 128:18; Mark 16:15; John 8:32; James 1:5; Acts 2:36; Matt. 7:13-14; John 14:5; John 13:20; F 1:6 Thes. 2:2-3; H 1:17; Acts 3:19; H 1:19 D&C 130:21; D&C 130:20; D&C 82:10; D&C 89:4; D&C 89:18 Ether 3:1; Alma 22:32; Moro. 10:4-5; Ne. 29:13-14; Ether 2:17; Ne. 29:3-12; Ether 2:20; Ne. 10:11-12; Ne. 1:30-33 D&C 3:1; D&C 59:9; Matt. 5:43-44; Tim. 3:2-4 James 1:5; D&C 18:34 D&C 10:45; Ne. 16:6-7; D&C 49:22; Morm. 5:8-9; D&C 3:17; D&C 49:24; Enos 1:12; Morm. 9:1-37; Moses 7:59; Ne. 21:1-3; Morm. 8:1-41; Ne. 30:4-6 D&C 107:33; D&C 84:111; D&C 20:53; D&C 20:50 James 2:26; D&C 84:34; D&C 84:33; D&C 121:43; D&C 20:54 D&C 84:33; D&C 84:34; D&C 84:35; D&C 82:10; Alma 34:32; Luke 9:62 John 7:17 D&C 121:41; Eph. 4:12-13; Matt. 28:19-20; D&C 45:9; Luke 2:14; D&C 20:53 F 1:8; James 1:6; D&C 82:10; Moro. 10:4-5; John 3:16; John 20:25; H 1:11; Ne. 11:7-10; F 1:9; Acts 2:37; John 3:5; Matt. 28:18-20; F 1:4; Rev. 14:6-7; F 1:1; D&C 39:5; John 20:11; F 1:3; John 14:6; Eph. 4:11-14; Luke 24:36; Luke 10:27 John 11:25; John 20:19; Matt. 28:1-8; Matt. 28:9-10; Mark 16:8; Matt. 28:7-8; Luke 24:13; Luke 24:4; Cor. 15:3-4; John 20:12; Luke 24:34; John 10:17; Acts 1:1; Mark 16:5; John 20:24; John 21:1; John 20:11; John 20:1; Luke 24:9; Matt. 28:5-7 D&C 89:19; D&C 89:4; D&C 89:3; D&C 89:18; D&C 89:21 D&C 105:14; Discourses 11:131 Ether 2:10; Ne. 26:15-17; Pet. 1:19-21; Luke 24:45; John 10:16; Amos 3:7; Deut. 33:13-17; Ne. 15:15-17; Luke 24:27; Rev. 12:7-9; Isa. 29:1-2; Luke 24:25; Ezek. 37:15-20; Matt. 23:29-31 Job 38:4; Gen. 3:17-19; Abr. 3:25-26; Matt. 11:28-30; Ps. 8:3-6; D&C 20:77; D&C 58:4 D&C 1:30; D&C 65:6; H 1:18; John 21:17; DHC 1:77; Moses 1:39; Luke 18:29; Acts 4:12; D&C 1:4; D&C 11:1 Matt. 7:17-18; Luke 23:34 Tim. 3:2-3; Tim. 3:1-3; D&C 59:21; D&C 59:7 John 8:1; Luke 8:43; Luke 17:15; John 4:16; John 3:1 John 12:42; D&C 59:9; Moses 1:39; John 3:16; Alma 37:37; John 14:15
